policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay
CnnPolicy,0.0003,0.99,64,1.0,0.05,0.20
CnnPolicy,0.0005,0.99,64,1.0,0.05,0.20
CnnPolicy,0.0001,0.99,64,1.0,0.05,0.20
CnnPolicy,0.0005,0.99,128,1.0,0.05,0.20
CnnPolicy,0.0003,0.95,128,1.0,0.02,0.25
MlpPolicy,0.0003,0.99,64,1.0,0.05,0.20
MlpPolicy,0.0005,0.99,64,1.0,0.05,0.20
MlpPolicy,0.0001,0.99,64,1.0,0.05,0.20
MlpPolicy,0.0005,0.99,128,1.0,0.05,0.20
MlpPolicy,0.0005,0.95,64,1.0,0.02,0.25
