 Experiment     Policy  Learning Rate  ...  Eval Std Reward  Eval Episodes  Is Best
0           1  CnnPolicy         0.0010  ...         0.000000             10    False
1           2  CnnPolicy         0.0010  ...         0.000000             10    False
2           3  CnnPolicy         0.0005  ...         0.663325             10    False
3           4  CnnPolicy         0.0005  ...         1.813836             10    False
4           5  CnnPolicy         0.0003  ...         1.374773             10    False
5           6  CnnPolicy         0.0002  ...         1.688194             10     True
6           7  CnnPolicy         0.0001  ...         2.118962             10    False
7           8  CnnPolicy         0.0005  ...         1.833030             10    False
8           9  CnnPolicy         0.0001  ...         0.979796             10    False
9          10  CnnPolicy         0.0001  ...         0.900000             10    False
