policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay
CnnPolicy,0.001,0.95,32,1.0,0.10,0.20
CnnPolicy,0.001,0.99,32,1.0,0.10,0.20
CnnPolicy,0.0005,0.95,32,1.0,0.10,0.20
CnnPolicy,0.0005,0.97,64,1.0,0.10,0.20
CnnPolicy,0.0003,0.98,64,1.0,0.10,0.20
CnnPolicy,0.0002,0.99,64,1.0,0.10,0.20
CnnPolicy,0.0001,0.98,128,1.0,0.10,0.20
CnnPolicy,0.0005,0.99,32,1.0,0.10,0.20
CnnPolicy,0.0001,0.95,32,1.0,0.10,0.20
CnnPolicy,0.0001,0.99,32,1.0,0.10,0.20
